word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
mimi,11,1,9.090909090909092,8,72.72727272727273
mimimi,9,1,11.11111111111111,8,88.88888888888889
mocambiqu,10,2,20,8,80
neguinho,8,0,0,8,100
niobio,9,1,11.11111111111111,8,88.88888888888889
nubank,8,0,0,8,100
orfanato,10,2,20,8,80
papagaio,8,0,0,8,100
patologista,11,2,18.181818181818183,8,72.72727272727273
pistola,11,3,27.27272727272727,8,72.72727272727273
premissa,11,3,27.27272727272727,8,72.72727272727273
propositalment,11,3,27.27272727272727,8,72.72727272727273
provento,8,0,0,8,100
regatar,10,2,20,8,80
revoltant,9,1,11.11111111111111,8,88.88888888888889
rolex,8,0,0,8,100
russomano,10,2,20,8,80
satira,8,0,0,8,100
schwarzenegg,8,0,0,8,100
sossegar,10,2,20,8,80
subtitulo,8,0,0,8,100
susi,8,0,0,8,100
valadar,11,3,27.27272727272727,8,72.72727272727273
vergonhoso,8,0,0,8,100
viga,10,1,10,8,80
vigarista,8,0,0,8,100
voador,8,0,0,8,100
vomitar,9,1,11.11111111111111,8,88.88888888888889
abreviacao,10,1,10,9,90
acobertar,12,3,25,9,75
adivinho,9,0,0,9,100
aecio,12,3,25,9,75
artificialment,12,3,25,9,75
atenciosament,9,0,0,9,100
azarar,10,1,10,9,90
bandidagem,9,0,0,9,100
biblico,10,1,10,9,90
cachaceiro,10,1,10,9,90
canalhic,9,0,0,9,100
caneca,10,1,10,9,90
chacota,9,0,0,9,100
chover,10,1,10,9,90
cigarrar,12,3,25,9,75
circo,12,3,25,9,75
comboiar,9,0,0,9,100
coveiro,10,1,10,9,90
debochar,12,3,25,9,75
diabolico,9,0,0,9,100
distorcido,11,2,18.181818181818183,9,81.81818181818183
engolir,11,2,18.181818181818183,9,81.81818181818183
estoquista,9,0,0,9,100
eternar,12,3,25,9,75
extrato,12,3,25,9,75
faminto,9,0,0,9,100
filosofo,12,3,25,9,75
grudar,10,1,10,9,90
guararap,11,2,18.181818181818183,9,81.81818181818183
guerreiro,10,1,10,9,90
honesto,11,2,18.181818181818183,9,81.81818181818183
incestar,9,0,0,9,100
intrigar,12,3,25,9,75
inveridico,10,1,10,9,90
itajai,12,2,16.666666666666664,9,75
jale,12,1,8.333333333333332,9,75
jaleco,10,1,10,9,90
lazarar,9,0,0,9,100
malucar,10,1,10,9,90
momo,10,1,10,9,90
nojo,10,1,10,9,90
notredam,9,0,0,9,100
palhacada,11,0,0,9,81.81818181818183
parodia,10,1,10,9,90
pavimentacao,9,0,0,9,100
pescador,12,3,25,9,75
pornografia,9,0,0,9,100
quarentar,12,3,25,9,75
queimadura,12,3,25,9,75
raoult,9,0,0,9,100
recepcionista,12,3,25,9,75
refrigerant,12,3,25,9,75
renner,9,0,0,9,100
repletar,11,2,18.181818181818183,9,81.81818181818183
resort,12,3,25,9,75
rolant,10,1,10,9,90
sangalo,12,3,25,9,75
sinonimo,10,1,10,9,90
sordido,10,1,10,9,90
tamiflu,9,0,0,9,100
tumulto,12,3,25,9,75
urinar,9,0,0,9,100
vitalicio,12,3,25,9,75
wisconsin,9,0,0,9,100
zelenko,9,0,0,9,100
aforar,14,4,28.57142857142857,10,71.42857142857143
