word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
advocaciager,36,34,94.44444444444444,2,5.555555555555555
advocaticio,1,1,100,0,0
advogaciager,1,1,100,0,0
advogadoger,9,9,100,0,0
aeb,1,1,100,0,0
aegypti,7,5,71.42857142857143,2,28.57142857142857
aegyti,1,1,100,0,0
aeonm,1,1,100,0,0
aerea,11,8,72.72727272727273,1,9.090909090909092
aeri,1,1,100,0,0
aerocinema,3,3,100,0,0
aeroespaci,2,2,100,0,0
aeronautica,1,1,100,0,0
aeroviario,1,1,100,0,0
aesop,1,1,100,0,0
afagar,2,2,100,0,0
afago,1,1,100,0,0
afastada,2,2,100,0,0
afastado,4,4,100,0,0
afastala,1,1,100,0,0
afastalo,1,1,100,0,0
afastam,75,56,74.66666666666667,17,22.666666666666664
afastament,74,56,75.67567567567568,17,22.972972972972975
afastamento,73,56,76.71232876712328,17,23.28767123287671
afastandos,1,1,100,0,0
afavelment,1,1,100,0,0
afazer,1,1,100,0,0
afeccao,1,1,100,0,0
afetacao,4,4,100,0,0
afetadaapesar,1,1,100,0,0
afetado,126,107,84.92063492063492,19,15.079365079365079
afetam,14,11,78.57142857142857,3,21.428571428571427
afetando,14,13,92.85714285714286,1,7.142857142857142
afetaram,3,3,100,0,0
afetarao,4,4,100,0,0
afetaria,1,1,100,0,0
affair,2,2,100,0,0
afiar,85,63,74.11764705882354,20,23.52941176470588
afif,2,2,100,0,0
afigurar,1,1,100,0,0
afiguras,1,1,100,0,0
afiliado,3,3,100,0,0
afiliar,6,5,83.33333333333334,1,16.666666666666664
afinco,1,1,100,0,0
afirmado,1,1,100,0,0
afirmam,3,3,100,0,0
afirmando,4,4,100,0,0
afirmaram,9,9,100,0,0
afixar,2,2,100,0,0
aflicao,1,1,100,0,0
afligir,3,3,100,0,0
afluxo,1,1,100,0,0
afp,223,160,71.74887892376681,63,28.251121076233183
afranio,1,1,100,0,0
afrmou,1,1,100,0,0
afrodescendent,2,2,100,0,0
afronorteamericano,1,1,100,0,0
afrouxamento,5,4,80,1,20
afrouxar,9,9,100,0,0
after,1,1,100,0,0
afton,1,1,100,0,0
afugentar,1,1,100,0,0
against,3,3,100,0,0
agboula,1,1,100,0,0
ageismo,1,1,100,0,0
agenciaa,1,1,100,0,0
agenciabarco,1,1,100,0,0
agenciafapespbr34659,1,1,100,0,0
agenersa,1,1,100,0,0
aggio,6,5,83.33333333333334,0,0
agido,1,1,100,0,0
aginaldo,1,1,100,0,0
agindo,1,1,100,0,0
agitar,7,5,71.42857142857143,2,28.57142857142857
agiu,1,1,100,0,0
aglomeracao,205,156,76.09756097560975,49,23.902439024390244
aglomeraco,13,10,76.92307692307693,1,7.6923076923076925
aglomerado,1,1,100,0,0
aglutinacao,1,1,100,0,0
aglutinador,1,1,100,0,0
agoniar,2,2,100,0,0
agostini,1,1,100,0,0
agradecelo,1,1,100,0,0
agradeceu,1,1,100,0,0
agradecido,1,1,100,0,0
agrario,11,8,72.72727272727273,3,27.27272727272727
agravada,2,2,100,0,0
agravado,1,1,100,0,0
agravamento,57,49,85.96491228070175,8,14.035087719298245
agravant,5,4,80,1,20
agravar,58,42,72.41379310344827,16,27.586206896551722
agredila,1,1,100,0,0
agremiacao,2,2,100,0,0
agressiva,1,1,100,0,0
agressividad,2,2,100,0,0
agressivo,19,15,78.94736842105263,4,21.052631578947366
agronomo,1,1,100,0,0
agropecuario,8,6,75,2,25
agrupamento,4,3,75,1,25
aguadvocacia,1,1,100,0,0
aguardam,1,1,100,0,0
aguardando,1,1,100,0,0
