word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
disseminacao,184,145,78.80434782608695,39,21.195652173913043
distant,36,26,72.22222222222221,10,27.77777777777778
distrit,275,240,87.27272727272727,32,11.636363636363637
distrito,272,240,88.23529411764706,32,11.76470588235294
divergencia,29,24,82.75862068965517,5,17.24137931034483
domicilio,28,21,75,1,3.571428571428571
domingo,528,394,74.62121212121212,1,0.1893939393939394
dondo,27,19,70.37037037037037,7,25.925925925925924
dosar,307,241,78.50162866449512,66,21.49837133550489
duqu,46,42,91.30434782608695,4,8.695652173913043
economia,679,522,76.87776141,1,0.14727540500736377
edson,87,70,80.45977011494253,17,19.54022988505747
efetividad,25,21,84,4,16
elaborar,86,68,79.06976744186046,18,20.930232558139537
elson,95,74,77.89473684210526,1,1.0526315789473684
embora,28,25,89.28571428571429,1,3.571428571428571
emenda,123,101,82.11382113821138,18,14.634146341463413
emendar,119,101,84.87394957983193,18,15.126050420168067
emergenciai,35,31,88.57142857142857,4,11.428571428571429
empatar,30,28,93.33333333333333,0,0
emprestimo,49,38,77.55102040816327,11,22.448979591836736
enfatizar,35,26,74.28571428571429,9,25.71428571428571
enfermagem,48,39,81.25,9,18.75
enfrentamento,231,208,90.04329004329004,23,9.956709956709958
enquadrar,30,25,83.33333333333334,5,16.666666666666664
entendimento,72,63,87.5,4,5.555555555555555
entregu,80,56,70,1,1.25
enxerg,54,43,79.62962962962963,9,16.666666666666664
enxerga,53,43,81.13207547169812,9,16.98113208
enxergar,52,43,82.69230769,9,17.307692307692307
epicentro,61,57,93.44262295081968,4,6.557377049180328
epidemia,303,213,70.29702970297029,68,22.442244224422442
epidemiar,281,213,75.80071174377224,68,24.199288256227756
epidemiologico,89,77,86.51685393258427,12,13.48314606741573
equilibrio,33,25,75.75757575757575,4,12.121212121212121
equipamento,265,191,72.0754717,74,27.92452830188679
equivalent,70,55,78.57142857142857,15,21.428571428571427
ernesto,65,52,80,13,20
escalar,91,64,70.32967032967034,27,29.67032967032967
escassez,56,50,89.28571428571429,6,10.714285714285714
esforco,81,70,86.41975308641975,1,1.2345679012345678
espanha,167,123,73.65269461077844,44,26.34730538922156
especializar,78,64,82.05128205128204,14,17.94871794871795
especialment,116,87,75,29,25
especifico,153,116,75.81699346405229,3,1.9607843137254901
esperanca,93,69,74.19354838709677,17,18.27956989247312
esperancar,86,69,80.23255813953489,17,19.767441860465116
espirito,80,61,76.25,18,22.5
esquema,177,127,71.75141242937853,1,0.5649717514124294
estabilidad,69,63,91.30434782608695,6,8.695652173913043
estagio,78,58,74.35897435897436,20,25.64102564102564
estatistico,117,83,70.94017094017094,34,29.059829059829063
estimativo,68,53,77.94117647058823,15,22.058823529411764
estimular,75,56,74.66666666666667,1,1.3333333333333335
estrategia,191,156,81.67539267015707,34,17.801047120418847
estrategico,76,68,89.47368421052632,8,10.526315789473683
etapa,147,113,76.87074829931973,34,23.12925170068027
europeu,255,210,82.35294117647058,45,17.647058823529413
eventualment,25,19,76,6,24
examinar,26,21,80.76923076923077,5,19.230769230769234
excecao,39,33,84.61538461538461,6,15.384615384615385
exemplo,25,24,96,1,4
exercicio,113,84,74.33628318584071,29,25.663716814159294
exgovernador,56,48,85.71428571428571,1,1.7857142857142856
exigencia,52,38,73.07692307692307,14,26.923076923076923
exjuiz,47,37,78.72340425531915,10,21.27659574468085
exministro,286,214,74.82517482517483,1,0.34965034965034963
exonerar,27,23,85.18518518518519,4,14.814814814814813
expansao,37,32,86.48648648648648,5,13.513513513513514
expectativa,127,112,88.18897637795276,15,11.811023622047244
exportacao,48,37,77.08333333333334,11,22.916666666666664
exprefeito,33,27,81.81818181818183,6,18.181818181818183
expressar,45,33,73.33333333333333,12,26.666666666666668
expressivo,27,24,88.88888888888889,3,11.11111111111111
extensa,53,43,81.13207547169812,6,11.320754716981133
extensao,49,43,87.75510204081633,6,12.244897959183673
externo,60,50,83.33333333333334,10,16.666666666666664
extraordinari,55,40,72.72727272727273,11,20
extraordinario,51,40,78.43137254901961,11,21.568627450980394
fabricacao,45,32,71.11111111111111,13,28.888888888888886
fabricio,56,47,83.92857142857143,9,16.071428571428573
fachin,115,94,81.73913043478261,1,0.8695652173913043
facilitar,83,68,81.92771084337349,15,18.072289156626507
fase,433,350,80.83140877598153,1,0.23094688221709006
favorito,30,21,70,9,30
federar,138,111,80.43478260869566,27,19.565217391304348
federativo,33,25,75.75757575757575,8,24.242424242424242
feriar,70,62,88.57142857142857,8,11.428571428571429
fez,31,29,93.54838709677419,1,3.225806451612903
flavia,30,29,96.66666666666667,1,3.3333333333333335
flavio,227,180,79.29515418502203,1,0.4405286343612335
flexibilizacao,78,75,96.15384615384616,3,3.8461538461538463
flexibilizar,44,43,97.72727272727273,1,2.272727272727273
florido,50,39,78,11,22
fluminens,87,66,75.86206896551724,21,24.137931034482758
fluxo,57,43,75.43859649122807,13,22.807017543859647
folhar,300,231,77,69,23
forcatarefa,71,62,87.32394366197182,9,12.676056338028168
fornecimento,50,45,90,5,10
fronteiro,145,108,74.48275862068967,37,25.517241379310345
funcao,158,121,76.58227848101265,34,21.518987341772153
funcionamento,134,114,85.07462686567165,20,14.925373134328357
fundacao,202,154,76.23762376237624,1,0.49504950495049505
fundamentar,45,35,77.77777777777779,10,22.22222222222222
fundeb,27,24,88.88888888888889,3,11.11111111111111
fux,75,58,77.33333333333333,3,4
gabbardo,40,40,100,0,0
gabi,204,150,73.52941176470588,44,21.568627450980394
gabinet,194,150,77.31958762886599,44,22.68041237113402
genoma,26,22,84.61538461538461,4,15.384615384615385
geografia,26,21,80.76923076923077,5,19.230769230769234
geraldo,25,18,72,7,28.000000000000004
gestant,45,41,91.11111111111111,4,8.888888889
globonew,79,57,72.15189873417721,22,27.848101265822784
goncalo,31,24,77.41935483870968,7,22.58064516129032
goncalv,31,28,90.32258064516128,3,9.677419355
gorinchtey,29,27,93.10344827586206,1,3.4482758620689653
gorinchteyn,28,27,96.42857142857143,1,3.571428571428571
governista,36,34,94.44444444444444,2,5.555555555555555
gripezinha,33,24,72.72727272727273,9,27.27272727272727
guaruja,36,28,77.77777777777779,8,22.22222222222222
guarulho,35,28,80,7,20
gued,260,198,76.15384615384615,1,0.38461538461538464
habea,36,34,94.44444444444444,2,5.555555555555555
habitant,138,113,81.88405797101449,1,0.7246376811594203
habito,48,34,70.83333333333334,14,29.166666666666668
helen,60,44,73.33333333333333,11,18.333333333333332
heleno,57,44,77.19298245614034,11,19.298245614035086
help,27,22,81.48148148148148,0,0
henri,207,152,73.42995169082126,40,19.32367149758454
henriqu,192,152,79.16666666666666,40,20.833333333333336
higienizacao,26,19,73.07692307692307,7,26.923076923076923
hipertensa,28,24,85.71428571428571,3,10.714285714285714
hipertensao,27,24,88.88888888888889,3,11.11111111111111
hospitalizacao,40,33,82.5,7,17.5
hospitalizar,68,55,80.88235294117648,13,19.11764705882353
hubei,27,26,96.29629629629629,1,3.7037037037037033
humanitario,27,19,70.37037037037037,8,29.629629629629626
humberto,29,23,79.31034483,6,20.689655172413794
ibg,41,34,82.92682926829268,7,17.073170731707318
ideologico,52,38,73.07692307692307,14,26.923076923076923
igualitario,32,31,96.875,1,3.125
imitacao,39,32,82.05128205128204,4,10.256410256410255
impactar,224,186,83.03571428571429,38,16.964285714285715
impacto,71,65,91.54929577464789,6,8.450704225352112
implementacao,50,39,78,11,22
implementar,69,53,76.81159420289855,16,23.18840579710145
importacao,70,56,80,14,20
importancia,137,116,84.67153284671532,21,15.328467153284672
improbidad,36,28,77.77777777777779,8,22.22222222222222
impulsionar,34,25,73.52941176470588,9,26.47058823529412
imunizacao,343,291,84.83965015,1,0.2915451895043732
incerteza,38,35,92.10526315789474,3,7.894736842105263
inclusao,49,41,83.67346939,8,16.32653061
inconsistencia,27,26,96.29629629629629,1,3.7037037037037033
independentement,29,23,79.31034483,6,20.689655172413794
indicado,49,39,79.59183673469387,4,8.163265306
indicador,43,39,90.69767441860465,4,9.302325581
individuar,42,31,73.80952380952381,11,26.190476190476193
inedito,49,39,79.59183673469387,10,20.408163265306122
infancia,27,19,70.37037037037037,8,29.629629629629626
infeccioso,66,51,77.27272727272727,15,22.727272727272727
infectar,592,424,71.62162162162163,1,0.16891891891891891
informaco,40,36,90,1,2.5
infraestrutura,83,61,73.49397590361446,22,26.506024096385545
inglaterra,84,68,80.95238095238095,16,19.047619047619047
inicialment,100,81,81,1,1
iniciativo,229,185,80.78602620087337,44,19.213973799126638
inovacao,41,36,87.80487805,5,12.195121951219512
inquerito,216,178,82.40740741,38,17.59259259259259
instalacao,81,65,80.24691358024691,16,19.753086419753085
instaurar,33,28,84.84848484848484,5,15.151515151515152
institut,749,559,74.63284379,170,22.696929238985312
instituto,731,559,76.47058823529412,170,23.25581395348837
insuficient,35,29,82.85714285714286,6,17.142857142857142
integrant,202,147,72.77227722772277,52,25.742574257425744
integro,267,256,95.88014981273409,11,4.119850187265917
intensivo,158,145,91.77215189873418,13,8.227848101265822
intenso,53,38,71.69811320754717,15,28.30188679245283
interferencia,44,37,84.09090909,7,15.909090909090908
interino,40,36,90,4,10
interlocutor,37,34,91.89189189,3,8.108108108108109
internacao,152,127,83.55263157894737,25,16.447368421052634
internar,408,299,73.28431373,109,26.715686274509803
interpretar,32,23,71.875,9,28.125
interrupcao,37,33,89.18918919,4,10.81081081081081
intervalar,62,58,93.54838709677419,4,6.451612903225806
intubacao,44,38,86.36363636363636,6,13.636363636363635
investigacao,391,298,76.21483375959079,93,23.785166240409207
irregularidad,71,55,77.46478873239437,16,22.535211267605636
isolar,143,109,76.22377622377621,31,21.678321678321677
itamar,52,40,76.92307692307693,7,13.461538461538462
itamarati,47,40,85.10638298,7,14.893617021276595
jantar,29,22,75.86206896551724,7,24.137931034482758
jn,79,70,88.60759493670885,6,7.594936709
jorg,89,73,82.02247191011236,15,16.853932584269664
jornada,40,36,90,4,10
journal,48,37,77.08333333333334,11,22.916666666666664
julgamento,182,147,80.76923076923077,35,19.230769230769234
jurista,32,23,71.875,9,28.125
juro,45,36,80,9,20
justicar,771,560,72.63294422827497,211,27.367055771725035
justificativo,64,49,76.5625,15,23.4375
kassio,49,49,100,0,0
kong,61,55,90.16393443,6,9.836065573770492
lancamento,57,42,73.68421052631578,15,26.31578947368421
lavagem,71,51,71.83098591549296,19,26.76056338028169
legislativo,173,146,84.39306358381504,27,15.606936416184972
lelo,37,30,81.08108108108108,6,16.216216216216218
lesao,33,24,72.72727272727273,9,27.27272727272727
letalidad,36,29,80.55555555555556,7,19.444444444444446
levantamento,289,255,88.23529411764706,34,11.76470588235294
lewandowski,86,70,81.39534884,16,18.60465116
liderar,141,108,76.59574468085107,33,23.404255319148938
limitacao,37,32,86.48648648648648,4,10.81081081081081
lira,150,142,94.66666666666667,5,3.3333333333333335
logistico,71,55,77.46478873239437,16,22.535211267605636
lorenz,30,24,80,4,13.333333333333334
lorenzon,29,24,82.75862068965517,4,13.793103448275861
lorenzoni,28,24,85.71428571428571,4,14.285714285714285
machadar,38,28,73.68421052631578,10,26.31578947368421
magistrado,86,74,86.04651162790698,11,12.790697674418606
mandatario,44,37,84.09090909,7,15.909090909090908
mantido,73,56,76.71232876712328,17,23.28767123287671
manutencao,98,74,75.51020408163265,24,24.489795918367346
margem,74,60,81.08108108108108,14,18.91891891891892
marilia,25,20,80,5,20
marinhar,51,36,70.58823529411765,15,29.411764705882355
martim,78,57,73.07692307692307,21,26.923076923076923
materiaprima,31,28,90.32258064516128,3,9.677419355
mdbal,41,38,92.68292683,1,2.4390243902439024
medeiro,34,28,82.35294117647058,6,17.647058823529413
medida,123,121,98.37398374,1,0.8130081300813009
mello,124,104,83.87096774193549,20,16.129032258064516
mendonca,59,49,83.05084745762711,10,16.94915254237288
mergulhar,25,20,80,5,20
merkel,27,20,74.07407407407408,7,25.925925925925924
metropolitano,103,76,73.78640777,27,26.21359223300971
mexico,94,74,78.72340425531915,20,21.27659574468085
michael,34,24,70.58823529411765,10,29.411764705882355
milho,152,133,87.5,3,1.9736842105263157
minimizar,80,63,78.75,17,21.25
ministrar,1823,1310,71.85957213,424,23.258365331870543
minoria,31,24,77.41935483870968,7,22.58064516129032
modelo,39,29,74.35897435897436,8,20.51282051282051
moderno,89,68,76.40449438202246,21,23.595505617977526
molecular,34,28,82.35294117647058,6,17.647058823529413
monetario,25,20,80,5,20
monitoram,88,63,71.59090909,20,22.727272727272727
monitoramento,83,63,75.90361445783132,20,24.096385542168676
montant,33,26,78.78787878787878,7,21.21212121212121
motivacao,28,24,85.71428571428571,4,14.285714285714285
movimentacao,50,37,74,13,26
mprj,27,22,81.48148148148148,5,18.51851851851852
mudanca,333,250,75.07507507507508,82,24.624624624624623
mutacao,105,90,85.71428571428571,15,14.285714285714285
necessario,445,322,72.35955056179775,1,0.22471910112359553
necessidad,247,204,82.59109312,42,17.00404858299595
negativa,101,74,73.26732673267327,15,14.85148514851485
negativar,89,74,83.14606741573034,15,16.853932584269664
nelson,94,74,78.72340425531915,1,1.0638297872340425
nogueira,52,48,92.30769231,4,7.6923076923076925
nomeacao,56,44,78.57142857142857,12,21.428571428571427
none,55,49,89.09090909,5,9.090909090909092
normalidad,33,28,84.84848484848484,2,6.0606060606060606
normalment,88,63,71.59090909,25,28.40909090909091
notificar,83,75,90.36144578313254,8,9.638554217
obesidad,30,29,96.66666666666667,1,3.3333333333333335
observacao,41,30,73.17073170731707,11,26.82926829268293
observar,175,123,70.28571428571428,52,29.714285714285715
obtido,72,60,83.33333333333334,12,16.666666666666664
oferecido,44,36,81.81818181818183,8,18.181818181818183
oficialment,89,67,75.28089887640449,20,22.47191011235955
oficio,77,74,96.1038961,3,3.896103896103896
oliveira,116,90,77.58620689655173,26,22.413793103448278
onerar,30,23,76.66666666666667,1,3.3333333333333335
onyx,38,35,92.10526315789474,3,7.894736842105263
opcao,107,76,71.02803738317756,1,0.9345794392523363
